st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10
2013-08-19 13:41:00;2013-08-19 17:35:00;234;7.2;29.7;9.8;2013-08-19 13:43:00;2013-08-19 16:20:00;157;8.1;57.7;14.4;2013-08-19 13:41:00;2013-08-19 16:27:00;166;6.9;24.7;11.1;2013-08-19 13:43:00;2013-08-19 16:19:00;156;6.6;25.4;9.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-08-25 12:50:00;2013-08-26 04:29:00;939;16;6.2;3;2013-08-25 12:52:00;2013-08-26 04:29:00;937;15.3;6.2;3;2013-08-25 13:20:00;2013-08-26 04:10:00;890;18.2;12.4;3.7;2013-08-25 12:50:00;2013-08-26 03:36:00;886;14.7;6.1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-08-27 18:41:00;2013-08-28 02:18:00;457;4.1;6.2;3;2013-08-27 18:56:00;2013-08-28 02:04:00;428;3.6;6;3.6;2013-08-27 18:41:00;2013-08-28 00:57:00;376;3.6;6.4;4.3;2013-08-27 18:43:00;2013-08-28 01:41:00;418;5.1;6.1;4.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-08-29 16:08:00;2013-08-29 18:28:00;140;2.3;10.5;5.2;2013-08-29 16:08:00;2013-08-29 17:20:00;72;3.1;25.4;10.5;2013-08-29 16:19:00;2013-08-29 17:24:00;65;0.8;12.2;3.1;2013-08-29 16:10:00;2013-08-29 17:25:00;75;3.1;25.7;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-08-31 21:56:00;2013-09-01 05:35:00;459;7.3;12.7;8.3;2013-08-31 22:05:00;2013-09-01 04:19:00;374;10.4;37.9;15.7;2013-08-31 21:56:00;2013-09-01 04:26:00;390;5.1;6.4;4.3;2013-08-31 22:11:00;2013-09-01 05:22:00;431;6.3;25.7;7.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-09-09 04:55:00;2013-09-09 08:54:00;239;9.7;38.3;28.5;2013-09-09 04:58:00;2013-09-09 08:17:00;199;10.3;44.5;29.8;2013-09-09 04:55:00;2013-09-09 08:22:00;207;10.2;38;28.8;2013-09-09 04:59:00;2013-09-09 08:19:00;200;8.7;58.4;32;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-09-10 13:35:00;2013-09-10 20:06:00;391;8.7;8.1;4.8;2013-09-10 13:35:00;2013-09-10 18:30:00;295;8.7;6.1;4.8;2013-09-10 13:49:00;2013-09-10 18:39:00;290;9.1;12.2;5.5;2013-09-10 13:39:00;2013-09-10 18:29:00;290;8.2;6.1;4.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-09-12 16:41:00;2013-09-12 19:44:00;183;3.3;8.3;3.8;2013-09-12 17:34:00;2013-09-12 18:33:00;59;1.9;6;4.8;2013-09-12 16:41:00;2013-09-12 18:39:00;118;4.9;24.9;9.3;2013-09-12 17:04:00;2013-09-12 18:23:00;79;3;6.1;4.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-09-15 17:41:00;2013-09-15 19:38:00;117;2.4;36.9;11.7;2013-09-15 17:41:00;2013-09-15 19:04:00;83;4.3;110.7;24.4;2013-09-15 17:56:00;2013-09-15 18:05:00;9;0.7;12.4;4.3;2013-09-15 18:02:00;2013-09-15 19:08:00;66;2.2;38.8;10.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-09-16 16:30:00;2013-09-16 18:54:00;144;2.8;8.1;4.9;2013-09-16 16:30:00;2013-09-16 17:36:00;66;3;12.2;6;2013-09-16 16:30:00;2013-09-16 17:42:00;72;2.9;12.1;4.3;2013-09-16 16:34:00;2013-09-16 17:34:00;60;2.6;6.1;4.9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-09-16 23:37:00;2013-09-17 03:11:00;214;2.6;4.2;2.2;2013-09-16 23:43:00;2013-09-17 02:05:00;142;2.6;6;2.4;2013-09-16 23:37:00;2013-09-17 02:01:00;144;2.8;6.4;3.1;2013-09-16 23:38:00;2013-09-17 01:57:00;139;2.4;6.1;2.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-09-18 07:18:00;2013-09-18 20:19:00;781;6.3;6.2;1.8;2013-09-18 07:23:00;2013-09-18 19:47:00;744;5.9;5.9;1.8;2013-09-18 07:26:00;2013-09-18 20:10:00;764;6.8;6.4;1.9;2013-09-18 07:18:00;2013-09-18 20:07:00;769;6;6.1;1.8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-10-10 16:54:00;2013-10-11 01:21:00;507;18.9;12.3;8.8;2013-10-10 17:00:00;2013-10-11 01:02:00;482;20;12.6;9.8;2013-10-10 16:54:00;2013-10-11 00:57:00;483;18.6;24.8;11.1;2013-10-10 16:57:00;2013-10-11 01:11:00;494;18.1;12.3;10.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-10-11 11:00:00;2013-10-11 19:11:00;491;6.9;12.2;7.9;2013-10-11 11:06:00;2013-10-11 17:46:00;400;6.7;18.8;8.6;2013-10-11 11:00:00;2013-10-11 17:34:00;394;7.4;18.4;7.9;2013-10-11 11:08:00;2013-10-11 17:53:00;405;6.6;18.5;8.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-10-17 06:34:00;2013-10-17 10:11:00;217;2.3;6.1;4.4;2013-10-17 06:34:00;2013-10-17 10:04:00;210;2.3;6.1;4.8;2013-10-17 07:35:00;2013-10-17 08:33:00;58;2.4;6.4;4.3;2013-10-17 07:36:00;2013-10-17 08:31:00;55;2.1;6.1;4.2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013-10-20 17:05:00;2013-10-20 19:41:00;156;5.8;16.6;11.1;2013-10-20 17:05:00;2013-10-20 18:05:00;60;5.3;12.6;9.2;2013-10-20 17:08:00;2013-10-20 18:45:00;97;6.1;31.3;13.6;2013-10-20 17:07:00;2013-10-20 18:17:00;70;5.9;18.9;11.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
